Loading repository data...
Reading installed packages...

S | Name                                       | Summary                                                                                              | Type       
i | perl-Text-Wrapper                          | Word wrap text by breaking long lines                                                                | package    
i | perl-Tie-IxHash                            | ordered associative arrays for Perl                                                                  | package    
i | perl-TimeDate                              | Parse date strings into time values                                                                  | package    
i | perl-URI                                   | Uniform Resource Identifiers (absolute and relative)                                                 | package    
i | perl-WWW-RobotRules                        | database of robots.txt-derived permissions                                                           | package    
i | perl-XML-SAX-Base                          | Base class SAX Drivers and Filters                                                                   | package    
i | perl-XML-SAX-Expat                         | SAX2 Driver for Expat (XML::Parser)                                                                  | package    
i | perl-XML-Simple                            | Easily read/write XML (esp config files)                                                             | package    
i | perl-XML-Twig                              | A perl module for processing huge XML documents in tree mode.                                        | package    
i | perl-XML-XPathEngine                       | Re-usable XPath engine for DOM-like trees                                                            | package    
i | perl-libwww-perl                           | The World-Wide-Web library for Perl                                                                  | package    
i | plasma-nm-lang                             | Languages for package plasma-nm                                                                      | package    
i | plymouth-branding-openSUSE                 | openSUSE branding for Plymouth bootsplash                                                            | package    
i | polkit-default-privs                       | SUSE PolicyKit default permissions                                                                   | package    
i | poppler-data                               | Encoding Files for use with libpoppler                                                               | package    
i | providers                                  | A list of internet service providers                                                                 | package    
i | python-CherryPy                            | Object-Oriented HTTP framework                                                                       | package    
i | python-bottle                              | Fast and simple WSGI-framework for small web-applications                                            | package    
i | python-configobj                           | Config file reading, writing and validation                                                          | package    
i | python-cupshelpers                         | High-level Python Bindings for CUPS                                                                  | package    
i | python-decorator                           | Better living through Python with decorators                                                         | package    
i | python-keyring                             | Store and access your passwords safely                                                               | package    
i | python-pyudev                              | Udev bindings for Python                                                                             | package    
i | python-setuptools                          | Easily download, build, install, upgrade, and uninstall Python packages                              | package    
i | python-six                                 | Python 2 and 3 compatibility utilities                                                               | package    
i | python3-pip                                | Pip installs packages. Python packages. An easy_install replacement                                  | package    
i | python3-setuptools                         | Easily download, build, install, upgrade, and uninstall Python packages                              | package    
i | readline-doc                               | Documentation how to Use and Program with the Readline Library                                       | package    
i | release-notes-openSUSE                     | Release Notes for openSUSE                                                                           | package    
i | ruby-common                                | Collection of scripts and macros for ruby packaging                                                  | package    
i | scout                                      | Indexing Package Properties                                                                          | package    
i | shared-desktop-ontologies                  | Shared Desktop Ontologies                                                                            | package    
i | skanlite-lang                              | Languages for package skanlite                                                                       | package    
i | snapper-zypp-plugin                        | A zypp commit plugin for calling snapper                                                             | package    
i | sound-theme-freedesktop                    | freedesktop.org sound theme                                                                          | package    
i | susegreeter-branding-openSUSE              | openSUSE branding for the KDE greeter                                                                | package    
i | susehelp                                   | SuSE Help-System (base)                                                                              | package    
i | susehelp_en                                | SuSE Help System (English)                                                                           | package    
i | synaptiks                                  | A touchpad configuration and management tool for KDE                                                 | package    
i | syslog-service                             | Syslog service files & scripts                                                                       | package    
i | system-config-printer-applet               | A printer administration tool -- Notification Icon for Printing                                      | package    
i | system-config-printer-common               | A printer administration tool -- Common Files                                                        | package    
i | system-config-printer-dbus-service         | A printer administration tool -- D-Bus Service to Configure Printing                                 | package    
i | systemd-bash-completion                    | Bash completion support for systemd                                                                  | package    
i | systemd-presets-branding-openSUSE          | systemd default presets for openSUSE                                                                 | package    
i | timezone-java                              | Time Zone Descriptions                                                                               | package    
i | translation-update                         | Translation Updates                                                                                  | package    
i | translation-update-en_US                   | Translation Updates for English                                                                      | package    
i | tuned                                      | A dynamic adaptive system tuning daemon                                                              | package    
i | ucode-amd                                  | Microcode updates for AMD CPUs                                                                       | package    
i | update-desktop-files                       | A Build Tool to Update Desktop Files                                                                 | package    
i | usb_modeswitch-data                        | Data Files for USB Modeswitch                                                                        | package    
i | vim-data                                   | Vi IMproved                                                                                          | package    
i | wallpaper-branding-openSUSE                | openSUSE default wallpapers                                                                          | package    
i | wireless-regdb                             | 802.11 regulatory domain database                                                                    | package    
i | words                                      | An English words dictionary                                                                          | package    
i | wxWidgets-lang                             | Languages for package wxWidgets                                                                      | package    
i | x11-tools                                  | Tools for the X Window System                                                                        | package    
i | xbitmaps                                   | Base X bitmaps                                                                                       | package    
i | xdg-menu                                   | XDG Menus for WindowMaker and other Window Managers                                                  | package    
i | xdg-utils                                  | Utilities to uniformly interface desktop environments                                                | package    
i | xkeyboard-config                           | The X Keyboard Extension                                                                             | package    
i | xorg-x11-driver-input                      | Compatibility metapackage for X.Org input drivers                                                    | package    
i | xorg-x11-essentials                        | Compatibility metapackage for X.Org core applications                                                | package    
i | xorg-x11-fonts                             | X.Org fonts                                                                                          | package    
i | xorg-x11-fonts-core                        | Core Fonts for X.Org                                                                                 | package    
i | xorg-x11-libX11-ccache                     | X                                                                                                    | package    
i | yast2-add-on                               | YaST2 - Add-On media installation code                                                               | package    
i | yast2-apparmor                             | YaST2 - Plugins for AppArmor Profile Management                                                      | package    
i | yast2-auth-client                          | YaST2 - Network Authentication Configuration                                                         | package    
i | yast2-branding-openSUSE                    | YaST2 - Theme (openSUSE)                                                                             | package    
i | yast2-firewall                             | YaST2 - Firewall Configuration                                                                       | package    
i | yast2-inetd                                | YaST2 - Network Services Configuration                                                               | package    
i | yast2-inetd-doc                            | YaST2 - Network Services Configuration                                                               | package    
i | yast2-installation                         | YaST2 - Installation Parts                                                                           | package    
i | yast2-iscsi-client                         | YaST2 - iSCSI Client Configuration                                                                   | package    
i | yast2-mail                                 | YaST2 - Mail Configuration                                                                           | package    
i | yast2-metapackage-handler                  | YaST2 - Easy Installation of Add-on RPMs using Metapackages                                          | package    
i | yast2-nfs-client                           | YaST2 - NFS Configuration                                                                            | package    
i | yast2-nfs-common                           | Configuration of NFS, common parts                                                                   | package    
i | yast2-ntp-client                           | YaST2 - NTP Client Configuration                                                                     | package    
i | yast2-online-update                        | YaST2 - Online Update (YOU)                                                                          | package    
i | yast2-online-update-configuration          | Configuration of Online Update                                                                       | package    
i | yast2-online-update-frontend               | YaST2 - Online Update (YOU)                                                                          | package    
i | yast2-pam                                  | YaST2 - PAM Agent                                                                                    | package    
i | yast2-proxy                                | YaST2 - Proxy Configuration                                                                          | package    
i | yast2-qt-branding-openSUSE                 | openSUSE branding for yast2-qt                                                                       | package    
i | yast2-samba-client                         | YaST2 - Samba Client Configuration                                                                   | package    
i | yast2-samba-server                         | YaST2 - Samba Server Configuration                                                                   | package    
i | yast2-security                             | YaST2 - Security Configuration                                                                       | package    
i | yast2-services-manager                     | YaST2 - Services Manager                                                                             | package    
i | yast2-sudo                                 | YaST2 - sudo configuration                                                                           | package    
i | yast2-sysconfig                            | YaST2 - Sysconfig Editor                                                                             | package    
i | yast2-trans-en_US                          | YaST2 - Translations                                                                                 | package    
i | yast2-trans-stats                          | YaST2 - Translation Statistics                                                                       | package    
i | zypper-aptitude                            | aptitude compatibility with zypper                                                                   | package    
i | zypper-log                                 | CLI for accessing the zypper logfile                                                                 | package    
i | cups-libs-32bit                            | Libraries for CUPS                                                                                   | package    
i | cyrus-sasl-32bit                           | Implementation of Cyrus SASL API                                                                     | package    
i | efibootmgr                                 | EFI Boot Manager                                                                                     | package    
i | glibc-32bit                                | Standard Shared Libraries (from the GNU C Library)                                                   | package    
i | glibc-locale-32bit                         | Locale Data for Localized Programs                                                                   | package    
i | gnome-keyring-pam-32bit                    | GNOME Keyring - PAM module                                                                           | package    
i | grub2-x86_64-efi                           | Bootloader with support for Linux, Multiboot and more                                                | package    
i | irqbalance                                 | Balance IRQs on SMP Machines                                                                         | package    
i | krb5-32bit                                 | MIT Kerberos5 Implementation--Libraries                                                              | package    
i | libacl1-32bit                              | A dynamic library for accessing POSIX Access Control Lists                                           | package    
i | libattr1-32bit                             | A dynamic library for filesystem extended attribute support                                          | package    
i | libaudit1-32bit                            | Dynamic library for libaudit                                                                         | package    
i | libavahi-client3-32bit                     | D-BUS Service for Zeroconf and Bonjour                                                               | package    
i | libavahi-common3-32bit                     | D-BUS Service for Zeroconf and Bonjour                                                               | package    
i | libcap2-32bit                              | Library for Capabilities (linux-privs) Support                                                       | package    
i | libcom_err2-32bit                          | E2fsprogs error reporting library                                                                    | package    
i | libcrack2-32bit                            | Library to crack passwords using dictionaries                                                        | package    
i | libdb-4_8-32bit                            | Berkeley DB Database Library Version 4.8                                                             | package    
i | libdbus-1-3-32bit                          | Library package for D-Bus                                                                            | package    
i | libdcerpc-binding0-32bit                   | Some samba library                                                                                   | package    
i | libdcerpc0-32bit                           | Distributed Computing Environment Remote Procedure Calls library                                     | package    
i | libgcc_s1-32bit                            | C compiler runtime library                                                                           | package    
i | libgcrypt20-32bit                          | The GNU Crypto Library                                                                               | package    
i | libgensec0-32bit                           | Samba generic security library                                                                       | package    
i | libgpg-error0-32bit                        | Library That Defines Common Error Values for All GnuPG Components                                    | package    
i | libgssglue1-32bit                          | Generic GSSAPI Library                                                                               | package    
i | libjasper1-32bit                           | JPEG-2000 library                                                                                    | package    
i | libjbig2-32bit                             | JBIG1 lossless image compression library                                                             | package    
i | libjpeg8-32bit                             | The MMX/SSE accelerated JPEG compression/decompression library                                       | package    
i | libjpeg8-devel-32bit                       | Development Tools for applications which will use the Libjpeg Library                                | package    
i | libkeyutils1-32bit                         | Key utilities library                                                                                | package    
i | liblcms1-32bit                             | Libraries for the Little CMS Engine                                                                  | package    
i | libldap-2_4-2-32bit                        | OpenLDAP Client Libraries                                                                            | package    
i | libldb1-32bit                              | An LDAP-like embedded database                                                                       | package    
i | liblzma5-32bit                             | LZMA library                                                                                         | package    
i | libncurses5-32bit                          | The New curses Libraries                                                                             | package    
i | libndr-krb5pac0-32bit                      | NDR marshallers for the KRB5 PAC formats                                                             | package    
i | libndr-nbt0-32bit                          | NDR marshallers for NBT formats                                                                      | package    
i | libndr-standard0-32bit                     | NDR marshallers for the standard set of DCE/RPC interfaces                                           | package    
i | libndr0-32bit                              | Network Data Representation library                                                                  | package    
i | libnetapi0-32bit                           | Samba netapi Library                                                                                 | package    
i | libnuma1                                   | NUMA Policy Control                                                                                  | package    
i | libopenssl1_0_0-32bit                      | Secure Sockets and Transport Layer Security                                                          | package    
i | libpcre1-32bit                             | A library for Perl-compatible regular expressions                                                    | package    
i | libpdb0-32bit                              | Samba3 password database library                                                                     | package    
i | libpng16-16-32bit                          | Library for the Portable Network Graphics Format (PNG)                                               | package    
i | libpopt0-32bit                             | A C library for parsing command line parameters                                                      | package    
i | libpython2_7-1_0-32bit                     | Python Interpreter shared library                                                                    | package    
i | libsamba-credentials0-32bit                | Samba credential management library                                                                  | package    
i | libsamba-hostconfig0-32bit                 | Host-wide Samba configuration library                                                                | package    
i | libsamba-util0-32bit                       | Samba utility function library                                                                       | package    
i | libsamdb0-32bit                            | Samba's SAM database library                                                                         | package    
i | libsasl2-3-32bit                           | Simple Authentication and Security Layer (SASL) library                                              | package    
i | libselinux1-32bit                          | SELinux library and simple utilities                                                                 | package    
i | libsmbclient-raw0-32bit                    | Samba4's raw SMB client library                                                                      | package    
i | libsmbconf0-32bit                          | Samba3 configuration library                                                                         | package    
i | libsmbldap0-32bit                          | Samba LDAP protocol helper function library                                                          | package    
i | libstdc++6-32bit                           | The standard C++ shared library                                                                      | package    
i | libtalloc2-32bit                           | Libraries and Header Files to Develop Programs with talloc2 Support                                  | package    
i | libtdb1-32bit                              | Libraries and Header Files to Develop Programs with tdb1 Support                                     | package    
i | libtevent-util0-32bit                      | tevent <-> system status code conversion utility library                                             | package    
i | libtevent0-32bit                           | Samba tevent Library                                                                                 | package    
i | libtiff-devel-32bit                        | Development Tools for Programs which will use the libtiff Library                                    | package    
i | libtiff5-32bit                             | The Tiff Library (with JPEG and compression support)                                                 | package    
i | libtirpc1-32bit                            | Transport Independent RPC Library                                                                    | package    
i | libtsan0                                   | The GNU Compiler Thread Sanitizer Runtime Library                                                    | package    
i | libwbclient0-32bit                         | Samba libwbclient Library                                                                            | package    
i | libz1-32bit                                | Include Files and Libraries mandatory for Development                                                | package    
i | linux32                                    | 32-Bit Emulation Utility for x86-64                                                                  | package    
i | nss-mdns-32bit                             | Host Name Resolution Via Multicast DNS (Zeroconf) for glibc                                          | package    
i | numactl                                    | NUMA Policy Control                                                                                  | package    
i | pam-32bit                                  | A Security Tool that Provides Authentication for Applications                                        | package    
i | pytalloc-32bit                             | Python bindings for the Talloc library                                                               | package    
i | samba-32bit                                | A SMB/CIFS File, Print, and Authentication Server                                                    | package    
i | samba-client-32bit                         | Samba Client Utilities                                                                               | package    
i | samba-libs-32bit                           | Samba libraries                                                                                      | package    
i | shim                                       | UEFI shim loader                                                                                     | package    
i | sssd-32bit                                 | System Security Services Daemon                                                                      | package    
i | systemd-32bit                              | A System and Session Manager                                                                         | package    
i | GIMP                                       | Create images and edit photographs                                                                   | application
i | Firefox                                    | Web Browser                                                                                          | application
i | apparmor                                   | AppArmor                                                                                             | pattern    
i | base                                       | Base System                                                                                          | pattern    
i | enhanced_base                              | Enhanced Base System                                                                                 | pattern    
i | fonts                                      | Fonts                                                                                                | pattern    
i | games                                      | Games                                                                                                | pattern    
i | imaging                                    | Graphics                                                                                             | pattern    
i | kde                                        | KDE4 Desktop Environment                                                                             | pattern    
i | kde4_basis                                 | KDE4 Base System                                                                                     | pattern    
i | laptop                                     | Laptop                                                                                               | pattern    
i | multimedia                                 | Multimedia                                                                                           | pattern    
i | non_oss                                    | Misc. Proprietary Packages                                                                           | pattern    
i | office                                     | Office Software                                                                                      | pattern    
i | sw_management                              | Software Management                                                                                  | pattern    
i | x11                                        | X Window System                                                                                      | pattern    
i | yast2_basis                                | YaST System Administration                                                                           | pattern    
i | openSUSE                                   | openSUSE                                                                                             | product    
i | libkface                                   | wrapper around LibFace to perform face recognition and detection over pictures                       | package    
i | libkface3                                  | wrapper around LibFace to perform face recognition and detection over pictures                       | package    
i | libkgeomap2                                | World-Map Library interface for KDE                                                                  | package    
i | libmarblewidget20                          | Generic map viewer: Shared Library                                                                   | package    
i | libnfsidmap-sss                            | Library to allow communication between libnfsidmap and SSSD                                          | package    
i | libqt5-qtbase-platformtheme-gtk2           | Qt 5 gtk2 plugin                                                                                     | package    
i | plasma-addons-kimpanel                     | A generic input method panel for Oriental languages                                                  | package    
i | openSUSE-2014-623                          | digikam: Version bump to 4.4.0, Bugfixes and adjustements needed for libkexiv2 4.14.2                | patch      
i | openSUSE-2014-624                          | system-config-printer: fixes crash when printing a traceback                                         | patch      
i | openSUSE-2014-632                          | timezone: update to version 2014i                                                                    | patch      
i | openSUSE-2014-620                          | pullin-flash-player: install flash-player                                                            | patch      
i | openSUSE-2014-625                          | dirmngr: fixed startup crash                                                                         | patch      
i | openSUSE-2014-631                          | plasma-addons: disable impanel to allow working with ibus-ui-gtk3                                    | patch      
i | openSUSE-2014-644                          | gtk3: update to 3.14.4                                                                               | patch      
i | openSUSE-2014-647                          | libserf: Disable SSLv2 and SSLv3.                                                                    | patch      
i | openSUSE-2014-639                          | tnftp: Prevent command exection                                                                      | patch      
i | openSUSE-2014-637                          | update for wget                                                                                      | patch      
i | openSUSE-2014-628                          | update for telnet                                                                                    | patch      
i | openSUSE-2014-649                          | Security update for ImageMagick                                                                      | patch      
i | openSUSE-2014-657                          | python-keyring: update to work with current gnome keyring                                            | patch      
i | openSUSE-2014-658                          | sssd: security and bugfix update to 1.12.2                                                           | patch      
i | openSUSE-2014-659                          | konversation: security and bugfix release to 1.5.1                                                   | patch      
i | openSUSE-2014-682                          | Security update for libreoffice                                                                      | patch      
i | openSUSE-2014-655                          | util-linux: systemd enablement for uuidd and fstrim support                                          | patch      
i | openSUSE-2014-652                          | gtk2: bugfix update to 2.24.25                                                                       | patch      
i | openSUSE-2014-653                          | glib2-branding-openSUSE: make plain text files open in gedit                                         | patch      
i | openSUSE-2014-654                          | pulseaudio: fix wrong mixer setup                                                                    | patch      
i | openSUSE-2014-669                          | phonon: bugfix update to 4.8.1                                                                       | patch      
i | openSUSE-2014-677                          | digikam: avoid a deadlock when using external MySQL                                                  | patch      
i | openSUSE-2014-666                          | polkit-default-privs: relax pcsc-lite rules to allow non-root usage                                  | patch      
i | openSUSE-2014-665                          | yast2-trans: translation updates                                                                     | patch      
i | openSUSE-2014-664                          | fribidi: bugfix update                                                                               | patch      
i | openSUSE-2014-676                          | recommended update for dos2unix                                                                      | patch      
i | openSUSE-2014-673                          | recommended update for yast2                                                                         | patch      
i | openSUSE-2014-672                          | recommended update for pcsc-lite                                                                     | patch      
i | openSUSE-2014-707                          | recommended update for several libqt5-packages                                                       | patch      
i | openSUSE-2014-671                          | Security update for openssl                                                                          | patch      
i | openSUSE-2014-690                          | Security update for dbus-1                                                                           | patch      
i | openSUSE-2014-684                          | recommended update for timezone                                                                      | patch      
i | openSUSE-2014-710                          | update to bugfix release 4.14.3 of KDE                                                               | patch      
i | openSUSE-2014-697                          | openssl: fixed elliptic curve handshake failure                                                      | patch      
i | openSUSE-2014-696                          | Security update for gnutls                                                                           | patch      
i | openSUSE-2014-693                          | recommended update for yast2-samba-client                                                            | patch      
i | openSUSE-2014-699                          | recommended update for the openSUSE release-notes                                                    | patch      
i | openSUSE-2014-712                          | Security update for ImageMagick                                                                      | patch      
i | openSUSE-2014-719                          | recommended update for git                                                                           | patch      
i | openSUSE-2014-723                          | Security update for file                                                                             | patch      
i | openSUSE-2014-694                          | recommended update for cups-filters                                                                  | patch      
i | openSUSE-2014-764                          | Security update for chromium                                                                         | patch      
i | openSUSE-2014-734                          | recommended udpate for dhcp                                                                          | patch      
i | openSUSE-2014-733                          | recommended update for pulseaudio                                                                    | patch      
i | openSUSE-2014-728                          | recommended update for tar                                                                           | patch      
i | openSUSE-2014-729                          | recommended update for mdadm                                                                         | patch      
i | openSUSE-2014-730                          | recommended udpate for yast2-samba-server                                                            | patch      
i | 3240                                       | recommended update for dbus-1                                                                        | patch      
i | openSUSE-2014-738                          | recommended update for dracut                                                                        | patch      
i | openSUSE-2014-739                          | recommended update for tigervnc                                                                      | patch      
i | openSUSE-2014-740                          | recommended update for systemd and pm-utils                                                          | patch      
i | openSUSE-2014-742                          | recommended udpate for iproute2                                                                      | patch      
i | openSUSE-2014-744                          | recommended update for btrfsprogs                                                                    | patch      
i | openSUSE-2014-756                          | Security update for flac                                                                             | patch      
i | openSUSE-2014-750                          | recommended update for oxygen-gtk2                                                                   | patch      
i | openSUSE-2014-752                          | Recommended update for rpcbind                                                                       | patch      
i | openSUSE-2014-759                          | Security update for openvpn                                                                          | patch      
i | openSUSE-2014-760                          | recommended update for yast2-storage                                                                 | patch      
i | openSUSE-2014-771                          | Security update for cpio                                                                             | patch      
i | openSUSE-2014-765                          | Security update for libyaml                                                                          | patch      
i | openSUSE-2014-746                          | Security update for MozillaFirefox                                                                   | patch      
i | openSUSE-2014-774                          | Security update for libjpeg-turbo, libjpeg62-turbo                                                   | patch      
i | openSUSE-2014-762                          | recommended update for yast2-services-manager                                                        | patch      
i | openSUSE-2014-768                          | recommended update for xf86-video-intel                                                              | patch      
i | openSUSE-2014-780                          | Server crash caused by malformed network packet.                                                     | patch      
i | openSUSE-2014-781                          | Security update for jasper                                                                           | patch      
i | openSUSE-2014-797                          | Add compatibility links for finnish keyboard.                                                        | patch      
i | openSUSE-2014-767                          | recommended update for procps                                                                        | patch      
i | openSUSE-2014-782                          | recommended update for tigervnc                                                                      | patch      
i | openSUSE-2014-769                          | recommended update for netcfg                                                                        | patch      
i | openSUSE-2014-783                          | recommended update for upower                                                                        | patch      
i | openSUSE-2014-790                          | recommended update for dhcp                                                                          | patch      
i | openSUSE-2014-799                          | Security update for libksba                                                                          | patch      
i | openSUSE-2015-42                           | recommended softwarestack-update for openSUSE 13.2                                                   | patch      
